#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_004567.2	614446	614769	+	1062010	-	lp_0667	YP_004888658.1	107	-	prophage P1 protein 44
chr	NC_004567.2	614759	615313	+	1062001	-	lp_0668	YP_004888659.1	184	-	prophage P1 protein 45, head-tail joining protein
chr	NC_004567.2	615314	615700	+	1062000	-	lp_0669	YP_004888660.1	128	-	prophage P1 protein 46
chr	NC_004567.2	615712	616299	+	1061999	-	lp_0670	YP_004888661.1	195	-	prophage P1 protein 47, major tail protein 2 family
chr	NC_004567.2	616317	616829	+	1061993	-	lp_0671	YP_004888662.1	170	-	prophage P1 protein 48
chr	NC_004567.2	616898	617134	+	1061991	-	lp_0672	YP_004888663.1	78	-	prophage P1 protein 49
chr	NC_004567.2	617134	621138	+	1061990	-	lp_0673	YP_004888664.1	1334	-	prophage P1 protein 50, tape measure protein
chr	NC_004567.2	621132	621869	+	1061977	-	lp_0674	YP_004888665.1	245	-	prophage P1 protein 51
chr	NC_004567.2	621869	623743	+	1061973	-	lp_0675	YP_004888666.1	624	-	prophage P1 protein 52, endolysin
chr	NC_004567.2	623748	624740	+	1061969	-	lp_0676	YP_004888667.1	330	-	prophage P1 protein 53, GDSL-like lipase/acylhydrolase family
chr	NC_004567.2	624755	625369	+	1061946	-	lp_0677	YP_004888668.1	204	-	prophage P1 protein 54, minor head protein
chr	NC_004567.2	625375	626115	+	1061945	-	lp_0678	YP_004888669.1	246	-	prophage P1 protein 55
chr	NC_004567.2	626116	626436	+	1061944	-	lp_0679	YP_004888670.1	106	-	prophage P1 protein 56
chr	NC_004567.2	626436	626612	+	1061935	-	lp_0680	YP_004888671.1	58	-	prophage P1 protein 57
chr	NC_004567.2	626590	627738	+	1061933	-	lp_0681	YP_004888672.1	382	-	prophage P1 protein 58, lysin
chr	NC_004567.2	627739	628035	+	1061932	-	lp_0682	YP_004888673.1	98	-	prophage P1 protein 59
chr	NC_004567.2	628022	628381	+	1061920	-	lp_0683	YP_004888674.1	119	-	prophage P1 protein 60, holin
chr	NC_004567.2	629228	629434	-	1062254	-	lp_0684	YP_004888675.1	68	-	prophage P1 protein 61
chr	NC_004567.2	629829	630098	+	1062255	-	lp_0686	YP_004888676.1	89	-	prophage P1 protein 63
chr	NC_004567.2	630155	631351	+	1062266	-	lp_0687	YP_004888677.1	398	-	prophage P1 protein 64
chr	NC_004567.2	632146	633123	-	1062287	-	lp_0688	YP_004888678.1	325	-	DNA entry nuclease
chr	NC_004567.2	633136	633804	-	1062288	-	lp_0689	YP_004888679.1	222	-	cell surface protein, lipoprotein precursor
chr	NC_004567.2	634108	636711	+	1062390	-	lp_0690	YP_004888680.1	867	-	membrane protein
chr	NC_004567.2	636886	637461	-	1062401	-	lp_0691	YP_004888681.1	191	-	hypothetical protein lp_0691
chr	NC_004567.2	637543	638553	-	1062402	nrdF	lp_0692	YP_004888682.1	336	-	ribonucleoside-diphosphate reductase, beta chain
chr	NC_004567.2	638581	640746	-	1062406	nrdE	lp_0693	YP_004888683.1	721	-	ribonucleoside-diphosphate reductase subunit alpha
chr	NC_004567.2	640885	641115	-	1062426	nrdH	lp_0694	YP_004888684.1	76	-	glutaredoxin-like protein nrdH
chr	NC_004567.2	641338	641946	+	1062435	rsmC	lp_0695	YP_004888685.1	202	-	16S rRNA methyltransferase
chr	NC_004567.2	641949	642455	+	1062437	-	lp_0696	YP_004888686.1	168	-	cytidine/deoxycytidylate deaminase
chr	NC_004567.2	642982	644679	+	1062506	dnaX	lp_0698	YP_004888687.1	565	-	DNA-directed DNA polymerase III subunit gamma/tau
chr	NC_004567.2	644701	645009	+	1062507	-	lp_0699	YP_004888688.1	102	-	hypothetical protein lp_0699
chr	NC_004567.2	645025	645624	+	1062508	recR	lp_0700	YP_004888689.1	199	-	recombination protein RecR
chr	NC_004567.2	645639	645890	+	1062511	-	lp_0701	YP_004888690.1	83	-	hypothetical protein lp_0701
chr	NC_004567.2	646288	646953	+	1062598	tmk	lp_0703	YP_004888691.1	221	-	thymidylate kinase
chr	NC_004567.2	646950	647279	+	1062609	-	lp_0704	YP_004888692.1	109	-	hypothetical protein lp_0704
chr	NC_004567.2	647296	648315	+	1062624	holB	lp_0705	YP_004888693.1	339	-	DNA-directed DNA polymerase III subunit delta\'
chr	NC_004567.2	648340	648687	+	1062799	-	lp_0706	YP_004888694.1	115	-	DNA replication intiation control protein
chr	NC_004567.2	648786	649682	+	1062817	-	lp_0707	YP_004888695.1	298	-	methyltransferase
chr	NC_004567.2	649686	650471	+	1062819	-	lp_0708	YP_004888696.1	261	-	acyl
chr	NC_004567.2	650610	651605	+	1062846	galE1	lp_0709	YP_004888697.1	331	-	UDP-glucose 4-epimerase
chr	NC_004567.2	651739	652839	-	1062849	phnW	lp_0710	YP_004888698.1	366	-	(2-aminoethyl)phosphonate-pyruvate aminotransferase
chr	NC_004567.2	652861	653658	-	1062857	phnX	lp_0711	YP_004888699.1	265	-	phosphonoacetaldehyde hydrolase
chr	NC_004567.2	653683	654537	-	1062991	phnE1	lp_0712	YP_004888700.1	284	-	phosphonates ABC transporter permease
chr	NC_004567.2	654534	655322	-	1062992	phnE2	lp_0713	YP_004888701.1	262	-	phosphonates ABC transporter permease
chr	NC_004567.2	655327	656097	-	1062994	phnC	lp_0714	YP_004888702.1	256	-	phosphonates ABC transporter ATP-binding protein
chr	NC_004567.2	656135	657187	-	1063001	phnD	lp_0715	YP_004888703.1	350	-	phosphonates ABC transporter, substrate binding protein
chr	NC_004567.2	657467	658192	+	1063037	gpp	lp_0717	YP_004888704.1	241	-	glycoprotein endopeptidase, M22 family
chr	NC_004567.2	658176	658754	+	1063321	rimI1	lp_0718	YP_004888705.1	192	-	ribosomal-protein-alanine N-acetyltransferase
chr	NC_004567.2	658747	659202	+	1063322	rimI2	lp_0720	YP_004888706.1	151	-	ribosomal-protein-alanine N-acetyltransferase
chr	NC_004567.2	659207	660253	+	1063334	gcp	lp_0721	YP_004888707.1	348	-	O-sialoglycoprotein endopeptidase
chr	NC_004567.2	661173	663155	-	1063352	-	lp_0723	YP_004888708.1	660	-	ABC transporter ATP-binding protein
chr	NC_004567.2	663324	664001	+	1063358	-	lp_0725	YP_004888709.1	225	-	redox-sensitive transcription regulator
chr	NC_004567.2	664166	664810	-	1063371	-	lp_0726	YP_004888710.1	214	-	membrane-bound protease, CAAX family
chr	NC_004567.2	665003	665287	+	1063373	groES	lp_0727	YP_004888711.1	94	-	GroES co-chaperonin
chr	NC_004567.2	665343	666968	+	1063384	groEL	lp_0728	YP_004888712.1	541	-	GroEL chaperonin
chr	NC_004567.2	667218	669053	+	1063387	-	lp_0729	YP_004888713.1	611	-	amino acid transport protein
chr	NC_004567.2	669269	670366	+	1063389	tagO	lp_0730	YP_004888714.1	365	-	undecaprenyl-phosphate N-acetyl-glucosaminyl transferase
chr	NC_004567.2	670691	671593	+	1063421	pstF	lp_0733	YP_004888715.1	300	-	phosphate ABC transporter substrate-binding protein
chr	NC_004567.2	671784	672431	-	1063422	-	lp_0734	YP_004888716.1	215	-	hypothetical protein lp_0734
chr	NC_004567.2	672498	673850	+	1063424	comFA	lp_0735	YP_004888717.1	450	-	late competence protein, ATP-dependent DNA helicase/translocase
chr	NC_004567.2	673810	674484	+	1063447	comFC	lp_0736	YP_004888718.1	224	-	late competence protein,phosphoribosyltransferase
chr	NC_004567.2	674618	675184	+	1063452	-	lp_0737	YP_004888719.1	188	-	ribosomal protein S30EA
chr	NC_004567.2	675571	677934	+	1063458	secA	lp_0739	YP_004888720.1	787	-	Preprotein translocase subunit SecA
chr	NC_004567.2	678040	678114	+	1063492	prfB-N	lp_0740	YP_004888721.1	24	-	peptide chain release factor 2, N-terminal fragment (natural frameshift)
chr	NC_004567.2	678083	679156	+	1063494	prfB-C	lp_0741	YP_004888722.1	357	-	peptide chain release factor 2, C-terminal fragment (natural frameshift)
chr	NC_004567.2	679340	680515	+	1063506	-	lp_0742	YP_004888723.1	391	-	membrane protein
chr	NC_004567.2	680515	681243	+	1063526	rrp3	lp_0743	YP_004888724.1	242	-	two-component system response regulator,phosphate transport regulon
chr	NC_004567.2	681236	682639	+	1063531	hpk3	lp_0744	YP_004888725.1	467	-	two-component system histidine kinase, sensor protein, phosphate transport regulon
chr	NC_004567.2	682983	683858	+	1063532	pstE	lp_0746	YP_004888726.1	291	-	phosphate ABC transporter substrate-binding protein
chr	NC_004567.2	683869	684798	+	1063560	pstD	lp_0747	YP_004888727.1	309	-	phosphate ABC transporter permease
chr	NC_004567.2	684788	685672	+	1063561	pstC	lp_0748	YP_004888728.1	294	-	phosphate ABC transporter permease
chr	NC_004567.2	685687	686496	+	1063562	pstB	lp_0749	YP_004888729.1	269	-	phosphate ABC transporter ATP-binding protein
chr	NC_004567.2	686508	687263	+	1063570	pstA	lp_0750	YP_004888730.1	251	-	phosphate ABC transporter ATP-binding protein
chr	NC_004567.2	687276	687950	+	1063589	phoU	lp_0751	YP_004888731.1	224	-	phosphate transport system regulatory protein
chr	NC_004567.2	688050	688361	+	1063590	-	lp_0752	YP_004888732.1	103	-	stress-responsive transcription regulator
chr	NC_004567.2	688383	688748	+	1063591	-	lp_0753	YP_004888733.1	121	-	membrane protein
chr	NC_004567.2	688894	689841	+	1063592	hprK	lp_0754	YP_004888734.1	315	-	bifunctional protein: HPr kinase; P-ser-HPr phosphatase
chr	NC_004567.2	689860	690708	+	1063666	lgt	lp_0755	YP_004888735.1	282	-	prolipoprotein diacylglyceryl transferase
chr	NC_004567.2	690726	691742	+	1063667	gspA	lp_0756	YP_004888736.1	338	-	glycerol-3-phosphate dehydrogenase (NAD(P)+)
chr	NC_004567.2	691786	692706	+	1063670	galU	lp_0757	YP_004888737.1	306	-	UTP-glucose-1-phosphate uridylyltransferase
chr	NC_004567.2	692804	693484	-	1063680	-	lp_0758	YP_004888738.1	226	-	diguanylate cyclase/phosphodiesterase, EAL domain
chr	NC_004567.2	693876	695288	+	1063681	nox1	lp_0760	YP_004888739.1	470	-	NADH oxidase
chr	NC_004567.2	695481	696419	+	1063683	trxB	lp_0761	YP_004888740.1	312	-	thioredoxin reductase
chr	NC_004567.2	696525	697157	-	1063686	-	lp_0762	YP_004888741.1	210	-	membrane protein
chr	NC_004567.2	697158	697610	-	1063691	-	lp_0763	YP_004888742.1	150	-	hypothetical protein lp_0763
chr	NC_004567.2	697829	699556	+	1063692	pgm	lp_0764	YP_004888743.1	575	-	phosphoglucomutase
chr	NC_004567.2	699680	700390	-	1063693	-	lp_0765	YP_004888744.1	236	-	diguanylate cyclase/phosphodiesterase, EAL domain
chr	NC_004567.2	700544	701902	+	1063695	nox2	lp_0766	YP_004888745.1	452	-	NADH oxidase
chr	NC_004567.2	702348	702905	-	1063741	aad	lp_0769	YP_004888746.1	185	-	D-alanyl-D-alanine dipeptidase
chr	NC_004567.2	703075	704271	+	1063743	-	lp_0770	YP_004888747.1	398	-	multidrug transport protein, major facilitator superfamily (MFS)
chr	NC_004567.2	704377	705024	+	1063744	-	lp_0771	YP_004888748.1	215	-	metal-dependent phosphohydrolase, HD family
chr	NC_004567.2	705173	707176	+	1063751	uvrB	lp_0772	YP_004888749.1	667	-	excinuclease ABC subunit B
chr	NC_004567.2	707211	710066	+	1063752	uvrA1	lp_0773	YP_004888750.1	951	-	excinuclease ABC subunit A
chr	NC_004567.2	710127	710603	+	1063754	luxS	lp_0774	YP_004888751.1	158	-	S-ribosylhomocysteine lyase/autoinducer production protein LuxS
chr	NC_004567.2	710941	712176	+	1063757	argG	lp_0775	YP_004888752.1	411	-	argininosuccinate synthase
chr	NC_004567.2	712176	713579	+	1063764	argH	lp_0776	YP_004888753.1	467	-	argininosuccinate lyase
chr	NC_004567.2	713781	714317	+	1063765	-	lp_0778	YP_004888754.1	178	-	membrane protein
chr	NC_004567.2	714514	715398	+	1063766	-	lp_0779	YP_004888755.1	294	-	P-loop ATPase family protein
chr	NC_004567.2	715395	716396	+	1063775	-	lp_0780	YP_004888756.1	333	-	hypothetical protein lp_0780
chr	NC_004567.2	716409	717341	+	1063776	-	lp_0781	YP_004888757.1	310	-	hypothetical protein lp_0781
chr	NC_004567.2	717766	719418	+	1063777	-	lp_0783	YP_004888758.1	550	-	oligopeptide ABC transporter substrate binding protein
chr	NC_004567.2	719630	720604	-	1063780	-	lp_0785	YP_004888759.1	324	-	2-hydroxyacid dehydrogenase
chr	NC_004567.2	720763	721353	-	1063787	clpP	lp_0786	YP_004888760.1	196	-	endopeptidase Clp, proteolytic subunit
chr	NC_004567.2	722326	723663	+	1063796	rpoN	lp_0787	YP_004888761.1	445	-	DNA-directed RNA polymerase, sigma factor 54
chr	NC_004567.2	723880	724911	+	1063798	cggR	lp_0788	YP_004888762.1	343	-	central glycolytic genes regulator
chr	NC_004567.2	724978	726000	+	1063799	gapB	lp_0789	YP_004888763.1	340	-	glyceraldehyde 3-phosphate dehydrogenase
chr	NC_004567.2	726121	727323	+	1063805	pgk	lp_0790	YP_004888764.1	400	-	phosphoglycerate kinase
chr	NC_004567.2	727350	728108	+	1063807	tpiA	lp_0791	YP_004888765.1	252	-	triosephosphate isomerase
chr	NC_004567.2	728190	729518	+	1063808	enoA1	lp_0792	YP_004888766.1	442	-	enolase (phosphopyruvate hydratase)
chr	NC_004567.2	729666	729914	+	11933291	-	lp_0792a	YP_004888767.1	82	-	hypothetical protein lp_0792a
chr	NC_004567.2	729809	730540	+	1063828	-	lp_0793	YP_004888768.1	243	-	hypothetical protein lp_0793
chr	NC_004567.2	730557	732110	+	1063830	eriC	lp_0794	YP_004888769.1	517	-	chloride channel protein
chr	NC_004567.2	732210	732446	+	1063833	secG	lp_0795	YP_004888770.1	78	-	preprotein translocase subunit SecG
chr	NC_004567.2	732495	733244	+	1063853	-	lp_0796	YP_004888771.1	249	-	carboxylesterase
chr	NC_004567.2	733253	735688	+	1063856	-	lp_0797	YP_004888772.1	811	-	exoribonuclease II
chr	NC_004567.2	735714	736184	+	1063857	smpB	lp_0799	YP_004888773.1	156	-	SSRA RNA binding protein
chr	NC_004567.2	736644	743063	+	1063868	-	lp_0800	YP_004888774.1	2139	-	cell surface protein precursor, LPXTG-motif cell wall anchor
chr	NC_004567.2	743456	744892	+	1063874	-	lp_0802	YP_004888775.1	478	-	polar amino acid ABC transporter, substrate binding and permease protein
chr	NC_004567.2	744895	745629	+	1063875	glnQ1	lp_0803	YP_004888776.1	244	-	glutamine ABC transporter ATP-binding protein
chr	NC_004567.2	745903	746466	-	1063883	-	lp_0804	YP_004888777.1	187	-	hypothetical protein lp_0804
chr	NC_004567.2	746490	747359	-	1063884	-	lp_0805	YP_004888778.1	289	-	hydrolase, HAD superfamily, Cof family
chr	NC_004567.2	747475	748167	+	1063885	ung	lp_0806	YP_004888779.1	230	-	uracil-DNA glycosylase
chr	NC_004567.2	748191	749168	+	1063897	pta	lp_0807	YP_004888780.1	325	-	phosphate acetyltransferase
chr	NC_004567.2	749278	749739	+	1063898	-	lp_0809	YP_004888781.1	153	-	ATP/GTP hydrolase
chr	NC_004567.2	749745	750260	+	1063904	-	lp_0810	YP_004888782.1	171	-	GNAT family acetyltransferase
chr	NC_004567.2	750484	751020	-	1063906	-	lp_0811	YP_004888783.1	178	-	DNA-directed DNA polymerase III subunit epsilon
chr	NC_004567.2	751083	751847	-	1063915	exoA	lp_0812	YP_004888784.1	254	-	exodeoxyribonuclease III
chr	NC_004567.2	752169	753071	+	1063917	-	lp_0813	YP_004888785.1	300	-	oxidoreductase, NAD-dependent
chr	NC_004567.2	753243	754151	+	1063918	murB	lp_0814	YP_004888786.1	302	-	UDP-N-acetylmuramate dehydrogenase
chr	NC_004567.2	754185	756314	+	1063926	nhaP1	lp_0815	YP_004888787.1	709	-	Na(+)/H(+) antiporter
chr	NC_004567.2	756453	756965	+	1063925	-	lp_0816	YP_004888788.1	170	-	MarR family transcriptional regulator
chr	NC_004567.2	757041	757706	-	1063927	-	lp_0817	YP_004888789.1	221	-	membrane protein
chr	NC_004567.2	757891	758733	+	1063928	-	lp_0818	YP_004888790.1	280	-	membrane protein
chr	NC_004567.2	758730	759707	+	1063934	-	lp_0819	YP_004888791.1	325	-	cell surface protein, YbbR-like family
chr	NC_004567.2	759739	761094	+	1063935	glmM	lp_0820	YP_004888792.1	451	-	phosphoglucosamine mutase
chr	NC_004567.2	761632	763449	+	1063937	glmS1	lp_0822	YP_004888793.1	605	-	glutamine-fructose-6-phosphate transaminase
chr	NC_004567.2	763643	764314	+	1063939	-	lp_0823	YP_004888794.1	223	-	diguanylate cyclase/phosphodiesterase, EAL domain
chr	NC_004567.2	764445	765260	+	1063944	-	lp_0824	YP_004888795.1	271	-	hydrolase, HAD superfamily, Cof family
chr	NC_004567.2	765338	765925	-	1063945	-	lp_0825	YP_004888796.1	195	-	TetR family transcriptional regulator
chr	NC_004567.2	766261	767310	-	1063946	galM1	lp_0826	YP_004888797.1	349	-	aldose 1-epimerase
chr	NC_004567.2	768017	768325	+	1063952	-	lp_0827	YP_004888798.1	102	-	hypothetical protein lp_0827
chr	NC_004567.2	768571	768996	+	1063955	-	lp_0828	YP_004888799.1	141	-	hypothetical protein lp_0828
chr	NC_004567.2	768997	769749	+	1063957	-	lp_0829	YP_004888800.1	250	-	nitroreductase family protein
chr	NC_004567.2	772280	773806	-	1064018	gykA	lp_0834	YP_004888803.1	508	-	glycerol kinase
chr	NC_004567.2	774111	774893	+	1064026	-	lp_0835	YP_004888804.1	260	-	hypothetical protein lp_0835
chr	NC_004567.2	775287	775709	+	1061941	spx1	lp_0836	YP_004888805.1	140	-	RNA polymerase (RNAP)-binding regulatory protein, arsenate reductase (ArsC) family, Spx subfamily
chr	NC_004567.2	775978	776208	+	1062588	-	lp_0837	YP_004888806.1	76	-	hypothetical protein lp_0837
chr	NC_004567.2	776388	776900	-	1061866	-	lp_0838	YP_004888807.1	170	-	membrane protein
chr	NC_004567.2	777016	778449	-	1061873	-	lp_0840	YP_004888808.1	477	-	multi drug transporter, major facilitator superfamily (MFS), EmrB/QacA subfamily
chr	NC_004567.2	778619	779572	-	1064028	ppx2	lp_0841	YP_004888809.1	317	-	exopolyphosphatase
chr	NC_004567.2	779575	781731	-	1061875	ppk	lp_0842	YP_004888810.1	718	-	polyphosphate kinase
chr	NC_004567.2	781732	783261	-	1061835	ppx3	lp_0843	YP_004888811.1	509	-	exopolyphosphatase
chr	NC_004567.2	783586	784395	-	1062619	licD	lp_0844	YP_004888812.1	269	-	lipooligosaccharide cholinephosphotransferase
chr	NC_004567.2	784564	785037	+	1061992	-	lp_0845	YP_004888813.1	157	-	MarR family transcriptional regulator
chr	NC_004567.2	785252	785413	-	1062604	-	lp_0846	YP_004888814.1	53	-	hypothetical protein lp_0846
chr	NC_004567.2	785693	787000	+	1062613	-	lp_0848	YP_004888815.1	435	-	purine transport protein
chr	NC_004567.2	787618	789357	+	1061989	pox1	lp_0849	YP_004888816.1	579	-	pyruvate oxidase
chr	NC_004567.2	789498	790346	+	1062600	ribC1	lp_0850	YP_004888817.1	282	-	bifunctional protein: riboflavin kinase; FMN adenylyltransferase
chr	NC_004567.2	790675	792438	+	1062614	pox2	lp_0852	YP_004888818.1	587	-	pyruvate oxidase
chr	NC_004567.2	792560	793468	-	1061862	pepR1	lp_0853	YP_004888819.1	302	-	prolyl aminopeptidase
chr	NC_004567.2	793923	794912	+	1061908	birA2	lp_0854	YP_004888820.1	329	-	biotin
chr	NC_004567.2	795334	797316	+	1062684	-	lp_0856	YP_004888821.1	660	-	acyltransferase
chr	NC_004567.2	797481	799922	-	1061984	pepX	lp_0857	YP_004888822.1	813	-	Xaa-Pro dipeptidyl-peptidase
chr	NC_004567.2	800042	800461	+	1061812	-	lp_0858	YP_004888823.1	139	-	redox protein, regulator of disulfide bond formation
chr	NC_004567.2	800579	800872	-	1061880	-	lp_0860	YP_004888824.1	97	-	transposase, fragment
chr	NC_004567.2	801023	802420	-	1061828	bcaP	lp_0861	YP_004888825.1	465	-	branched-chain amino acid permease
chr	NC_004567.2	802926	803399	+	1061851	-	lp_0862	YP_004888826.1	157	-	hypothetical protein lp_0862
chr	NC_004567.2	803763	804581	+	1064132	pdxK	lp_0863	YP_004888827.1	272	-	pyridoxine kinase
chr	NC_004567.2	804635	805054	+	1061808	-	lp_0864	YP_004888828.1	139	-	phosphohydrolase
chr	NC_004567.2	805131	805280	-	1062672	-	lp_0865	YP_004888829.1	49	-	hypothetical protein lp_0865
chr	NC_004567.2	805431	806012	+	1061506	gmk2	lp_0866	YP_004888830.1	193	-	guanylate kinase
chr	NC_004567.2	806123	806566	+	1062976	-	lp_0868	YP_004888831.1	147	-	metal uptake regulator
chr	NC_004567.2	806708	807217	+	1061954	-	lp_0869	YP_004888832.1	169	-	extracellular protein, Ser/Thr-rich
chr	NC_004567.2	807221	808039	+	1062687	-	lp_0871	YP_004888833.1	272	-	membrane protein
chr	NC_004567.2	808188	808814	-	1062260	gph1	lp_0872	YP_004888834.1	208	-	phosphohydrolase
chr	NC_004567.2	809220	810851	+	1061514	-	lp_0874	YP_004888835.1	543	-	bifunctional protein: aminotransferase (pyridoxal-phosphate-dependent); 2-hydroxyacid dehydrogenase
chr	NC_004567.2	811085	811336	-	1061868	-	lp_0875	YP_004888836.1	83	-	hypothetical protein lp_0875
chr	NC_004567.2	811869	812609	+	1061981	glnQ2	lp_0878	YP_004888837.1	246	-	glutamine ABC transporter ATP-binding protein
chr	NC_004567.2	812630	813466	+	1061150	glnH1	lp_0881	YP_004888838.1	278	-	glutamine ABC transporter, substrate binding protein
chr	NC_004567.2	813466	814107	+	1062392	glnM	lp_0882	YP_004888839.1	213	-	glutamine ABC transporter, permease protein
chr	NC_004567.2	814124	814777	+	1062595	glnP1	lp_0883	YP_004888840.1	217	-	glutamine ABC transporter, permease protein
chr	NC_004567.2	815041	815532	+	1064192	pts11A	lp_0884	YP_004888841.1	163	-	PTS system transporter subunit IIA
chr	NC_004567.2	815558	816400	+	1061195	bglG1	lp_0885	YP_004888842.1	280	-	transcription antiterminator, BlgB family
chr	NC_004567.2	816428	817879	+	1062564	pts11BC	lp_0886	YP_004888843.1	483	-	PTS system, beta-glucosides-specific EIIBC component
chr	NC_004567.2	817886	818644	+	1062122	-	lp_0887	YP_004888844.1	252	-	PTS-related protein
chr	NC_004567.2	818779	820110	-	1064189	-	lp_0888	YP_004888845.1	443	-	threonine transporter, APC family
chr	NC_004567.2	820381	820821	-	1061199	-	lp_0889	YP_004888846.1	146	-	MarR family transcriptional regulator
chr	NC_004567.2	821092	821973	+	1062626	-	lp_0891	YP_004888847.1	293	-	anion exporter, TauE/SafE family
chr	NC_004567.2	822110	822550	+	1061206	-	lp_0892	YP_004888848.1	146	-	MarR family transcriptional regulator
chr	NC_004567.2	822547	823704	+	1062627	-	lp_0893	YP_004888849.1	385	-	multidrug transport protein, major facilitator superfamily (MFS)
chr	NC_004567.2	823824	824585	-	1062985	-	lp_0894	YP_004888850.1	253	-	anion exporter, TauE/SafE family
chr	NC_004567.2	824670	825230	+	1062810	-	lp_0895	YP_004888851.1	186	-	TetR family transcriptional regulator
chr	NC_004567.2	825342	826637	-	1062774	-	lp_0896	YP_004888852.1	431	-	GTPase, HflX subfamily
chr	NC_004567.2	826726	827163	+	1062521	-	lp_0897	YP_004888853.1	145	-	phosphohydrolase
chr	NC_004567.2	827305	827619	+	1061561	smr	lp_0898	YP_004888854.1	104	-	cation transporter, small multidrug resistance (SMR) family
chr	NC_004567.2	827925	828125	+	1062589	-	lp_0899	YP_004888855.1	66	-	membrane protein
chr	NC_004567.2	828442	829119	-	1061860	pgm3	lp_0900	YP_004888856.1	225	-	phosphoglycerate mutase family protein
chr	NC_004567.2	829134	829790	-	1063142	pgm4	lp_0901	YP_004888857.1	218	-	phosphoglycerate mutase family protein
chr	NC_004567.2	829861	831717	-	1062229	napA2	lp_0902	YP_004888858.1	618	-	Na(+)/H(+) antiporter
chr	NC_004567.2	831739	832812	-	1061741	-	lp_0903	YP_004888859.1	357	-	phosphohydrolase
chr	NC_004567.2	832966	833808	+	1061975	bglG2	lp_0904	YP_004888860.1	280	-	transcription antiterminator, BglB family
chr	NC_004567.2	833820	835682	+	1061930	pts12BCA	lp_0905	YP_004888861.1	620	-	PTS system, beta-glucosides-specific EIIBCA component
chr	NC_004567.2	835697	837199	+	1062543	pbg2	lp_0906	YP_004888862.1	500	-	6-phospho-beta-glucosidase
chr	NC_004567.2	837249	837893	-	1061974	-	lp_0907	YP_004888863.1	214	-	membrane protein
chr	NC_004567.2	838125	840431	+	1061473	-	lp_0910	YP_004888864.1	768	-	DNA helicase
chr	NC_004567.2	840600	842333	+	1061912	ISP2_2	lp_0911	YP_004888865.1	577	-	transposase
chr	NC_004567.2	842493	843422	+	1061968	-	lp_0912	YP_004888866.1	309	-	enoyl
chr	NC_004567.2	843591	844520	+	1062106	coaA	lp_0913	YP_004888867.1	309	-	pantothenate kinase
chr	NC_004567.2	844614	846170	+	1061959	guaA	lp_0914	YP_004888868.1	518	-	GMP synthase
chr	NC_004567.2	846496	846864	-	1061970	-	lp_0915	YP_004888869.1	122	-	phage protein
chr	NC_004567.2	847098	847466	-	1061925	-	lp_0917	YP_004888870.1	122	-	phage Cro/CI family transcriptional regulator
chr	NC_004567.2	848003	850966	+	1061965	-	lp_0918	YP_004888871.1	987	-	superfamily I DNA/RNA helicase
chr	NC_004567.2	851268	851960	+	1061956	-	lp_0919	YP_004888872.1	230	-	membrane-bound protease, CAAX family
chr	NC_004567.2	852180	852524	+	1061955	-	lp_0921	YP_004888873.1	114	-	MarR family transcriptional regulator
chr	NC_004567.2	852656	853954	-	1062075	-	lp_0922	YP_004888874.1	432	-	carbohydrate (prephenate-like) transport protein, major facilitator superfamily (MFS)
chr	NC_004567.2	854228	856648	+	1061961	-	lp_0923	YP_004888875.1	806	-	cell surface protein precursor, LPXTG-motif cell wall anchor
chr	NC_004567.2	857133	857516	+	1061872	-	lp_0924	YP_004888876.1	127	-	extracellular protein, MORN repeat family
chr	NC_004567.2	857506	859353	+	1061821	-	lp_0925	YP_004888877.1	615	-	acyltransferase
chr	NC_004567.2	859595	859849	+	1061953	-	lp_0926	YP_004888878.1	84	-	membrane protein
chr	NC_004567.2	859861	860406	+	1061923	-	lp_0927	YP_004888879.1	181	-	membrane protein
chr	NC_004567.2	860419	860601	+	1064033	-	lp_0928	YP_004888880.1	60	-	hypothetical protein lp_0928
chr	NC_004567.2	860616	861038	+	1061895	asp1	lp_0929	YP_004888881.1	140	-	alkaline shock protein
chr	NC_004567.2	861099	861539	+	1064021	asp2	lp_0930	YP_004888882.1	146	-	alkaline shock protein
chr	NC_004567.2	861713	862543	+	1064032	-	lp_0931	YP_004888883.1	276	-	fumarylacetoacetate hydrolase family protein
chr	NC_004567.2	862674	863684	+	1064037	-	lp_0932	YP_004888884.1	336	-	extracellular lipoprotein precursor
chr	NC_004567.2	864045	864377	+	1064029	-	lp_0934	YP_004888885.1	110	-	PTS system transporter subunit IIA
chr	NC_004567.2	864484	865056	+	1064027	-	lp_0935	YP_004888886.1	190	-	hypothetical protein lp_0935
chr	NC_004567.2	865238	867772	+	1063999	pepN	lp_0937	YP_004888887.1	844	-	membrane alanine aminopeptidase (aminopeptidase N)
chr	NC_004567.2	868000	870873	+	1064000	hsdR	lp_0938	YP_004888888.1	957	-	type I restriction-modification system,restriction subunit
chr	NC_004567.2	870887	872473	+	1064004	hsdM	lp_0939	YP_004888889.1	528	-	type I restriction-modification system,methylation subunit
chr	NC_004567.2	872470	873612	+	1063987	hsdS1	lp_0940	YP_004888890.1	380	-	type I restriction-modification system,specificity subunit
chr	NC_004567.2	873764	874681	+	1063980	-	lp_0941	YP_004888891.1	305	-	phage integrase
